Question,Answer
What is Buddha Air's cancellation policy?,"The following cancellation charges will apply, which differs according to fare class:
 
Normal Y Fare
  A cancellation charge of 10% of fare is levied if ticket(s) is cancelled 11 hours before flight time.
A cancellation charge of 33.33% of fare is levied if ticket(s) is cancelled 11 hours within flight time.
Cancellation is prohibited 2 hours before flight time.
 
Apex A Fare
  A cancellation charge of 25% of fare is levied if ticket(s) is cancelled 11 hours before flight time.
A cancellation charge of 50% of fare is levied if ticket(s) is cancelled 11 hours within flight time.
Cancellation is prohibited 2 hours before flight time.
 
Bravo B Fare
Only Fuel Charge and PSC (Airport Tax) will be refunded in case of cancellation.
Cancellation is prohibited 2 hours before flight time.
 
Charlie C Fare
Cancellation is not available for this fare.
Only PSC (Airport Tax) will be refunded.
 
Delta D Fare
Cancellation is not available for this fare.
Only PSC (Airport Tax) will be refunded.
 
Echo E Fare
Cancellation is not available for this fare.
Only PSC (Airport Tax) will be refunded."
What happens if my flight is cancelled?,"In case of cancellation of flight, Buddha Air will not provide any accommodation/compensation to the passenger, however Buddha Air will try to accommodate the passenger in the nearest/earliest available flight to the destination."
Can I cancel my ticket?,"Yes, you can cancel your ticket, but cancellation charges apply.The following cancellation charges will apply, which differs according to fare class:
 
Normal Y Fare
A cancellation charge of 10% of fare is levied if ticket(s) is cancelled 11 hours before flight time.
A cancellation charge of 33.33% of fare is levied if ticket(s) is cancelled 11 hours within flight time.
Cancellation is prohibited 2 hours before flight time.
 
Apex A Fare
A cancellation charge of 25% of fare is levied if ticket(s) is cancelled 11 hours before flight time.
A cancellation charge of 33.33% of fare is levied if ticket(s) is cancelled 11 hours within flight time.
Cancellation is prohibited 2 hours before flight time.
 
Bravo B Fare
Only Fuel Charge and PSC (Airport Tax) will be refunded in case of cancellation.
Cancellation is prohibited 2 hours before flight time.
 
Charlie C Fare
Cancellation is not available for this fare.
Only PSC (Airport Tax) will be refunded.
 
Delta D Fare
Cancellation is not available for this fare.
Only PSC (Airport Tax) will be refunded.
 
Echo E Fare
Cancellation is not available for this fare.
Only PSC (Airport Tax) will be refunded."
What is the cancellation procedure?,Normal 'Y' fare can be canceled but if cancelled one day prior to flight date 10% cancellation charge is levied. For same day cancellation 25% cancellation charge is levied. Cancellation is not entertained before 2 hrs of flight time. For more information: https://www.buddhaair.com/detail/flight-fare-rules-and-regulations
Where do I get refund for my cancelled ticket?,"Buddha air’s sales office or your travel agents where ever is the point of issuance that includes eSewa, Khalti or your bank as well."
Till when should be refund claimed?,Refund should be claimed within 1 year of ticket issuance.
Check-In,"CHECK-IN
Know any details regarding Check-in"
What are procedures for airport check-in?,"For domestic flights, you will need to reach one hour before departure time and present your ticket and baggage with valid photo ID. You will go through security check, and then proceed for check-in.
For international flights, you will need to reach the airport three hours before departure time and present your ticket and baggage with passport or valid photo ID."
What documents / documentation are required for check-in?,"You will need your ticket and a valid photo ID at the time of check-in at the airport.
For Nepalis, a government issued national ID like citizenship, driving license, election photo ID card is accepted.
For Indians, you need any government issued photo ID except for Aadhar Card.
For foreigners, you will need a valid passport during check-in."
How can I find out about changes to my flight?,Our representative will contact the concerned person(s) regarding the change in flight schedule.
What happens if I do not check-in?,Your ticket will be treated as NO-SHOW and only airport service tax will be refunded.
How do I cancel my ticket?,"To cancel your ticket, please immediately contact your point of sales or call us at 01 5970900  or email u4tickets@buddhaair.com"
Where do I get the latest information regarding my flight status?,"The latest information on your flight status of the day can be found on our website here or our mobile app.
To Download the app: 
Google Play Store: https://bit.ly/1QJhgFq
App Store: https://apple.co/2R23cJT"
What time should I reach the airport for my domestic flight?,"For domestic flights, you will need to reach the airport an hour before departure time."
What time should I reach the airport for my international flight?,"For international flights, you will need to reach the airport three hours before departure time."
How do I get a boarding pass for my ticket?,You will need to show your ticket during check-in along with a valid photo ID. Our representative at the airport will give you your boarding pass.
Do I have to pay extra at the airport?,"You have already paid for your ticket when you purchased it. The only extra charges you might need to pay could be pertaining to extra baggage charges. For more information on extra baggage, please visit www.buddhaair.com/detail/baggage"
Where can I get information regarding baggage limit?,"A passenger is allowed to carry one 5kg hand carry luggage. The amount of check-in baggage will be clearly displayed at the time of ticket purchase. It is also printed on the ticket itself. The check-in luggage differs according to fare class.
'Y' Class - 25 kgs.
'A' & 'B' Class - 20 kgs.
'C', 'D' & 'E' class - 15 kgs"
Where can I get information about my flight ticket?,You can get information about your flight ticket here Ticket Status
Can I make changes to my booking after I have purchased a ticket?,"You can only change the date and time of your ticket, but these changes must be made prior to scheduled departure of your flight to avoid no show charges. Changes to your booking can incur rebooking fees depending on the applicable fare rule."
Do I need a photo ID during check in?,"Yes, a valid photo ID is mandatory during check in."
Where do I need to go for to check-in for the flight?,"For flights departing from Tribhuvan International Airport you need to go to the domestic terminal, whereas for flights to Varanasi, India you will need to go to the international terminal. For flight departuring outside of Kathmandu, you will need to go to the airport of the respective destination."
Does Buddha Air have web check-in?,"At the moment, we do not have web check-in facility."
What is no-show?,A passenger will be considered no-show when he/she does not check-in at the airport within the allotted time.
During Flight,"DURING FLIGHT
Know any details regarding during flight."
What arrangement do you provide for diverted passengers?,"Passengers are readjusted to the next immediate flight as soon as possible, however, in circumstances of delay or postpone, passengers themselves will be liable for the expenses of their transportation, hotel accommodation, and food. For stranded passengers, our staff will fully cooperate to help passengers book services if requested. In case the flight is declared as a night stop we will provide transportation, hotel accommodation, and food if the passenger is diverted to other sectors than the point of origin or destination."
Why are there empty seats on the aircraft?,"If you are on a flight with empty seats, it is for your safety so that payload is efficiently managed. Learn more."
Can I smoke in the aircraft?,"No, smoking is strictly prohibited in the aircraft."
Do I have to keep my seat belt during the duration of the flight?,"Your seatbelt must be securely fastened during takeoff and landing. We advise our passengers to always keep their The seatbelts fastened in case the flight experiences unexpected turbulence. If not, you can look for the seatbelt fastened sign."
Can I use electronic devices during the flight?,"Electronic devices like mobile phones, laptops, must be switched off during take off, landing and taxiing phase. Other than that, you will need to keep your electronic devices on airplane mode for the duration of the flight."
Is alcohol offered on Buddha Air flights?,Serving alcohol and consuming alcohol is strictly prohibited on our flights.
Travelling With Pet,"TRAVELLING WITH PET
Know any details regarding travelling with pet."
Does Buddha Air allow pet on flight?,"Yes, you can travel with your pet on Buddha Air, but there are terms and conditions for carriage of pets. You can get more information here: www.buddhaair.com/detail/traveling-with-pets"
What are the terms and conditions for flying with my pet?,"The terms and conditions for the carriage of pets are as follows:
We do not accept the carriage of cats and dogs which are younger than two weeks old.     
We do not accept the carriage of cats and dogs which are more than six weeks pregnant.
A veterinary certificate is required for pregnant and young animals to certify that they are fit to travel.
Only 2 pets are allowed. 
There is no weight limitation for live animals.  
We do not provide medical services for your pets.    
We are not liable for death or accident caused by natural causes.      
If any pet or animal dies during travel, we will consult a veterinary doctor. The report provided by the veterinary doctor will be delivered by us to the respective pet owner."
What procedures must be done for travelling with pet?,"The following procedures must be fulfilled to carry live animals in your flight:
A health certificate regarding fit to fly including vaccination from a licensed veterinarian.
The passenger must have the health certificate or quarantine paper for their respective pets.
A leak-proof and well-ventilated cage or aquarium."
After Flight,"AFTER FLIGHT
Know any details regarding after flight."
Do you provide airport shuttle service?,"No, we do not provide airport shuttle service. This service is only available at Tribhuvan International Airport, Kathmandu."
Do you provide wheelchair for passengers?,"Yes, we will provide wheelchair for free for our passengers as our Special Assistance service. However, few terms and conditions will be applied www.buddhaair.com/detail/special-needs"
My luggage is damaged? What to do?,"The first step is to immediately inform our employee before you leave the airport premises. Our employee will give you a form to fill in, stating the damage and losses incurred. We will look into the matter immediately and get back to you."
There are some items missing from my luggage? What to do?,"The first step is to immediately inform our employee before you leave the airport premises. Our employee will give you a form to fill in, where you will have to list the item(s) missing. We will look into the matter immediately and get back to you."
What should I do if my baggage / luggage is lost?,You will need to immediately inform our employee that your baggage has been lost or misplaced. They will try to locate the missing or misplaced baggage for you.
Mobile App,"MOBILE APP
Know any details regarding Mobile App."
Does Buddha Air have an official mobile app?,"Yes, we have an official mobile app, available to download for free on Google Play Store or App Store.
To Download the app: 
Google Play Store: https://bit.ly/1QJhgFq
App Store: https://apple.co/2R23cJT"
Is paying on the app safe and secure?,"Yes, paying on the app is safe and secure."
Can I check my flight status on the mobile app?,"Yes, you can easily check your flight status on our mobile app under the flight status tab (on the bottom of the app screen)."
Flight Delays,"FLIGHT DELAYS
Know all the details regarding flight delays."
What are the reasons for Flight Delays?,"In context of Nepal there are 2 elementary reasons for flight delays. 
Due to Inclement Weather
Flights sometimes get delayed because of inclement weather. Weather with adverse conditions like a thick fog, heavy rains, or strong winds affects flight visibility.
Due to ATC Hold
When airport conditions deterio­rates due to weather like wind, heavy rain, poor visibility, or even too many flights scheduled in the same period – airport controllers ensure the highest levels of safety by mandating more space between planes as they arrive or depart. For example instead of 60 airplanes arriving every hour, now the ATC might restrict the flow to 30 airplanes. Hence, airplanes must wait their turn in the air, at the departure gate, or on the taxiway."
What is ATC Hold?,"When airport conditions deterio­rates due to weather like wind, heavy rain, poor visibility, or even too many flights scheduled in the same period – airport controllers ensure the highest levels of safety by mandating more space between planes as they arrive or depart. For example instead of 60 airplanes arriving every hour, now the ATC might restrict the flow to 30 airplanes. Hence, airplanes must wait their turn in the air, at the departure gate, or on the taxiway."
International Flights,"INTERNATIONAL FLIGHTS
Get information about International Flights."
What time should I reach the airport for my international flight?,"For international flights, you will need to reach the airport three hours before departure time."
What documents and formalities required for Indian citizens to travel Nepal?,"Indian citizens are required to produce their voter's ID or Passport, however, Adhar Card will not be entertained. They should also be fully vaccinated & produce their QR certifacte OR 72-hrs PCR negative report."
Do I have to visit the domestic airport or the Tribhuvan International Airport for Varanasi flight?,For Varanasi flight please visit the Tribhuvan International Airport at least 3 hours early to your given flight time.
Mountain Flights,"MOUNTAIN FLIGHTS
Details regarding mountain flights of Buddha Air."
Do you provide discount for child fare?,"No, we do not offer discount on child fare for mountain flights i.e Everest Experience, Kora Experience and Annapurna Experience."
At what time Mountain Flight starts?,Mountain flight starts at 6:00 A.M early in the morning.
Flight Delay & Cancelation,"FLIGHT DELAY & CANCELATION
Flight Delay & Cancelation Rules"
Will the airlines compensate its passengers in case of flight delay or canceled?,"No, the airline is not liable to compensate passengers whose flights are delayed or canceled."
Will the airlines arrange an alternative flight if flights are delayed or canceled?,"No, airlines will not be liable to arrange an alternate flight in case of delay or canceled."
How passengers will get prioritize in the next flight?,Passengers will be given priority in the next flight depending on the fare class i.e Normal Y Fare - Apex A Fare - Bravo B Fare - Delta D Fare - Charlie C Fare - Echo E Fare.
Emergency Exit Door,"EMERGENCY EXIT DOOR
Know any details regarding your emergency exit door."
What is an emergency exit door?,"In the event of an emergency, the emergency exit doors facilitate a swift evacuation from the aircraft. These doors remain securely closed during flight, only opening when subjected to a specific amount of force. Passengers seated near these exits receive brief training on their proper usage in case of an emergency."
Who can occupy the seat near emergency exit?,"The seat near an emergency exit can be occupied by passengers who meet the following criteria: Must not require assistance from an escort or staff.
Should be capable of aiding in an emergency evacuation, including tasks like opening of an emergency exits.
Must understand evacuation procedures and crew instructions, and be able to communicate this information to fellow passengers.
Should not be obligated to assist an accompanying passenger in an emergency evacuation.
Must provide consent to offer assistance in an emergency evacuation.
Passengers failing to meet the criteria outlined in above points will be requested to relocate to another seat. For the efficient evacuation of the aircraft, occupants of emergency exit rows may be asked to assist by following cabin crew instructions. During takeoff or landing, it is important not to place carry-on baggage at your feet or on your lap. Your cooperation is greatly appreciated."
Where is an emergency exit door located in the aircraft?,Our aircraft has emergency exits located over the wings and at the rear of the aircraft. Passengers are typically informed about the location of emergency exits during pre-flight safety briefings.
Is there a penalty if the passenger opens the emergency door in non-emergency situation?,"In accordance with a directive issued by the Nepal Government, Civil Aviation Authority of Nepal CAAN and Civil Aviation Security Act Civil Aviation Act 2015 9 A (3) (b) for offence against safety of air., passenger damaging the emergency door or opening in non-emergency situation or due to mischievous act shall be liable for punishment that includes imprisonment, fine or both."
What instructions will the crew provide during an emergency evacuation?," Cabin attendants will primarily focus on the following five points:
•    Hold passengers in place until cabin attendants have fully opened the emergency exit.
•    Verify the safety of the area outside the aircraft, operate and open the emergency door in accordance with cabin attendants' instructions.
•    Aid passengers in swiftly evacuating from the aircraft.
•    Assist each passenger in evacuating from the emergency exit.
•    Urgently instruct passengers to move away from the aircraft as promptly as possible.
Cabin attendants may issue additional instructions if necessary."
Foreigner,"FOREIGNER
Foreigner Category"
What payment options are available for foreign travelers?,"Foreign travelers can pay for flight tickets using UnionPay, American Express, Mastercard, or cash. Additionally, payments must be made in US dollars (USD) to book the flight."
Can I purchase tickets using cash at Buddha Air's sales counter?,"FOREIGNER Foreigner Category CAN I PURCHASE TICKETS USING CASH AT BUDDHA AIR'S SALES COUNTER? Yes, you can purchase tickets using cash at Buddha Air's sales counter However, except for Nepali and Indian passengers, all other travelers must pay in US dollars (USD) to book the flight tickets."
